Year,State,County,Population,Model-based Death Rate,Standard Deviation,Lower Confidence Limit,Upper Confidence Limit
2012,Pennsylvania,"Berks County, PA","413,552",13.06541,1.59743,10.30790,16.56157
2012,Pennsylvania,"Blair County, PA","126,569",16.27004,2.82395,11.66209,22.69967
2012,Pennsylvania,"Bradford County, PA","63,005",13.87775,3.05893,9.14081,21.07426
2012,Pennsylvania,"Bucks County, PA","625,603",18.23558,1.61777,15.34026,21.67834
2012,Pennsylvania,"Butler County, PA","185,016",14.11349,2.26473,10.36396,19.21978
2012,Pennsylvania,"Cambria County, PA","141,563",24.06330,3.51481,18.15114,31.90160
2012,Pennsylvania,"Cameron County, PA","4,974",10.14878,3.62059,5.32617,19.34108
2012,Pennsylvania,"Carbon County, PA","64,799",19.18835,3.85435,13.08664,28.13551
2012,Pennsylvania,"Centre County, PA","155,905",8.35200,1.66236,5.71570,12.20687
2012,Pennsylvania,"Chester County, PA","506,049",12.10217,1.40566,9.65956,15.16334
2012,Pennsylvania,"Clarion County, PA","39,472",11.44267,2.88177,7.13314,18.35828
2012,Pennsylvania,"Clearfield County, PA","81,407",10.86706,2.36645,7.18993,16.42271
2012,Pennsylvania,"Clinton County, PA","39,739",12.28154,3.06862,7.68314,19.63750
2012,Pennsylvania,"Columbia County, PA","67,045",11.51223,2.59348,7.51679,17.63190
2012,Pennsylvania,"Crawford County, PA","87,745",17.73545,3.35439,12.35609,25.45936
2012,Pennsylvania,"Cumberland County, PA","239,315",10.99899,1.76178,8.08154,14.97084
2012,Pennsylvania,"Dauphin County, PA","270,058",13.41249,1.91597,10.17855,17.67489
2012,Pennsylvania,"Delaware County, PA","560,865",26.51573,2.08503,22.74404,30.91422
2012,Pennsylvania,"Elk County, PA","31,619",16.14180,3.99783,10.13617,25.71211
2012,Pennsylvania,"Erie County, PA","281,416",18.01779,2.26047,14.12936,22.97803
2012,Pennsylvania,"Fayette County, PA","135,283",16.10519,2.74129,11.61428,22.32987
2012,Pennsylvania,"Forest County, PA","7,587",10.97597,3.67467,5.96291,20.20791
2012,Pennsylvania,"Franklin County, PA","151,518",10.92470,2.03018,7.65712,15.58865
2012,Pennsylvania,"Fulton County, PA","14,701",14.41242,4.11054,8.48791,24.47036
2012,Pennsylvania,"Greene County, PA","38,048",22.57404,4.97426,14.86937,34.27466
2012,Pennsylvania,"Huntingdon County, PA","45,948",10.28529,2.54647,6.45855,16.37957
2012,Pennsylvania,"Indiana County, PA","88,243",19.81827,3.62218,13.96819,28.12095
2012,Pennsylvania,"Jefferson County, PA","44,805",17.35458,3.92889,11.31082,26.63395
2012,Pennsylvania,"Juniata County, PA","24,609",8.45937,2.46192,4.93484,14.50416
2012,Pennsylvania,"Lackawanna County, PA","214,232",25.10304,3.07582,19.79517,31.83648
2012,Pennsylvania,"Lancaster County, PA","526,949",11.23194,1.32307,8.93694,14.11714
2012,Pennsylvania,"Lawrence County, PA","89,895",19.12551,3.50503,13.46674,27.16120
2012,Pennsylvania,"Lebanon County, PA","135,531",8.07551,1.67680,5.44101,11.98600
2012,Pennsylvania,"Lehigh County, PA","354,673",16.14838,1.92813,12.80967,20.35857
2012,Pennsylvania,"Luzerne County, PA","321,232",19.32622,2.23178,15.44512,24.18367
2012,Pennsylvania,"Lycoming County, PA","117,237",10.93109,2.17865,7.47612,15.98293
2012,Pennsylvania,"Mc Kean County, PA","43,151",14.33253,3.40470,9.15984,22.43149
2012,Pennsylvania,"Mercer County, PA","115,660",19.27237,3.26098,13.92562,26.67338
2012,Pennsylvania,"Mifflin County, PA","46,755",13.00444,3.09545,8.30345,20.36919
2012,Pennsylvania,"Monroe County, PA","168,675",15.91602,2.53104,11.71929,21.61709
2012,Pennsylvania,"Montgomery County, PA","808,782",16.72766,1.37373,14.25186,19.63448
2012,Pennsylvania,"Montour County, PA","18,429",13.56787,3.76058,8.09847,22.72697
2012,Pennsylvania,"Northampton County, PA","299,099",14.61878,1.94417,11.30171,18.91060
2012,Pennsylvania,"Northumberland County, PA","94,413",12.32039,2.51364,8.35426,18.16712
2012,Pennsylvania,"Perry County, PA","45,807",12.08972,2.91694,7.67511,19.04306
